Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,110.660004,111.800003,110.040001,111.519997,5653000,111.519997
2017-02-01,110.709999,111.989998,108.580002,110.089996,6965700,110.089996
2017-01-03,105.300003,111.050003,105.209999,110.650002,7703800,110.650002
2016-12-01,99.129997,106.260002,98.25,104.220001,8810100,104.220001
2016-11-01,92.779999,100.290001,91.660004,99.120003,9475800,98.361954
2016-10-03,92.470001,94.400002,90.32,92.690002,7111900,91.981125
2016-09-01,94.730003,94.959999,91.190002,92.860001,8263200,92.149826
2016-08-01,96.150002,99.269997,94.160004,94.459999,8450200,93.737587
2016-07-01,97.75,100.800003,95.82,95.949997,6871000,95.216187
2016-06-01,98.669998,100.959999,94.00,97.82,7366300,96.371834
2016-05-02,103.300003,106.75,97.510002,99.220001,9052900,97.751106
2016-04-01,98.800003,105.599998,95.800003,103.260002,7442300,101.7313
2016-03-01,95.900002,100.370003,95.529999,99.309998,6824900,97.839767
2016-02-01,95.080002,97.00,86.25,95.519997,10961300,94.105881
2016-01-04,103.120003,103.43,90.419998,95.82,12146000,94.401443
2015-12-01,114.150002,115.470001,104.300003,105.080002,10710800,103.524353
2015-11-02,114.489998,120.650002,110.809998,113.470001,10525500,111.078102
2015-10-01,102.970001,115.400002,99.879997,113.739998,7653400,111.342407
2015-09-01,99.309998,105.949997,97.769997,102.199997,9547500,100.04567
2015-08-03,120.879997,122.080002,90.00,101.879997,19880600,99.732414
2015-07-01,114.949997,120.720001,114.269997,120.00,6109500,117.470459
2015-06-01,111.480003,115.279999,107.650002,114.139999,6334200,111.087891
2015-05-01,109.949997,113.300003,107.669998,110.370003,6324100,107.418701
2015-04-01,105.43,111.660004,104.25,108.720001,6021500,105.81282
2015-03-02,104.349998,108.940002,102.870003,104.889999,6067500,102.085236
2015-02-02,91.300003,105.980003,90.059998,104.080002,8128900,101.296898
2015-01-02,94.910004,96.43,90.830002,90.959999,7484400,88.527725
2014-12-01,92.629997,95.93,90.129997,94.190002,6819500,91.671356
2014-11-03,91.239998,92.959999,88.650002,92.510002,7038700,88.906281
2014-10-01,89.080002,91.980003,78.540001,91.379997,8864200,87.820297
2014-09-02,90.18,91.199997,87.360001,89.029999,5570000,85.561844
2014-08-01,85.389999,91.139999,85.209999,89.879997,5899900,86.378731
2014-07-01,85.809998,87.629997,84.870003,85.879997,5773500,82.534546
2014-06-02,84.269997,86.07,81.800003,85.739998,6522500,82.400002
2014-05-01,79.349998,84.389999,79.209999,84.010002,6744800,80.737396
2014-04-01,80.389999,82.849998,76.309998,79.339996,7048600,76.249313
2014-03-03,80.300003,83.650002,77.279999,80.07,7365000,76.950882
2014-02-03,72.660004,81.589996,69.849998,80.809998,8788900,77.662048
2014-01-02,76.040001,76.839996,71.120003,72.610001,7236800,69.781487
2013-12-02,70.790001,76.540001,68.800003,76.400002,6880000,73.423843
2013-11-01,68.709999,71.690002,66.720001,70.540001,6605000,66.965385
2013-10-01,64.370003,69.870003,63.099998,68.589996,6764800,65.114197
2013-09-03,61.419998,67.650002,60.52,64.489998,10736700,61.22197
2013-08-01,65.160004,67.160004,60.41,60.830002,7596900,57.747444
2013-07-01,63.84,67.360001,62.57,64.650002,6345600,61.373863
2013-06-03,63.060001,65.550003,61.82,63.150002,8088100,59.949875
2013-05-01,62.880001,67.889999,62.799999,63.080002,9705900,59.883423
2013-04-01,56.889999,63.25,56.150002,62.84,8643800,59.655586
2013-03-01,54.310001,57.82,54.299999,56.799999,7127900,53.921661
2013-02-01,54.18,55.950001,53.41,54.59,9999600,51.823654
2013-01-02,50.799999,54.869999,50.18,53.880001,9227100,51.149632
2012-12-03,49.77,51.060001,48.549999,49.790001,8477600,47.266895
2012-11-01,49.279999,50.990002,46.529999,49.66,11010000,46.430481
2012-10-01,52.310001,53.150002,48.799999,49.119999,8591100,45.925598
2012-09-04,49.52,53.400002,49.23,52.279999,8922000,48.880093
2012-08-01,49.330002,50.650002,48.130001,49.470001,7894300,46.252838
2012-07-02,48.619999,50.540001,46.849998,49.139999,8954200,45.944298
2012-06-01,45.150002,48.950001,44.139999,48.50,10155400,45.345921
2012-05-01,43.18,46.099998,42.84,45.709999,11362500,42.737358
2012-04-02,43.59,44.00,40.880001,43.110001,7152900,40.306446
2012-03-14,43.59,44.50,42.299999,43.779999,9553500,40.932873
