Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,136.470001,139.679993,136.080002,139.600006,14333900,139.600006
2017-02-01,132.25,137.179993,130.300003,135.539993,20587200,135.539993
2017-01-03,116.029999,133.139999,115.510002,130.320007,19831300,130.320007
2016-12-01,118.379997,122.50,114.00,115.050003,20270100,115.050003
2016-11-01,131.410004,131.940002,113.550003,118.419998,31945900,118.419998
2016-10-03,128.380005,133.50,126.75,130.990005,15664400,130.990005
2016-09-01,126.379997,131.979996,125.599998,128.270004,18805700,128.270004
2016-08-01,123.849998,126.730003,122.07,126.120003,16516100,126.120003
2016-07-01,114.199997,128.330002,112.970001,123.940002,25258300,123.940002
2016-06-01,118.50,119.440002,108.230003,114.279999,21548500,114.279999
2016-05-02,117.830002,121.080002,115.879997,118.809998,23042000,118.809998
2016-04-01,113.75,120.790001,106.309998,117.580002,37079900,117.580002
2016-03-01,107.830002,116.989998,104.400002,114.099998,24666600,114.099998
2016-02-01,112.269997,117.589996,96.82,106.919998,45346500,106.919998
2016-01-04,101.949997,112.839996,89.370003,112.209999,45013200,112.209999
2015-12-01,104.830002,107.919998,101.459999,104.660004,20839500,104.660004
2015-11-02,101.720001,110.650002,100.470001,104.239998,28380800,104.239998
2015-10-01,90.050003,105.120003,88.360001,101.970001,27495200,101.970001
2015-09-01,86.849998,96.489998,85.720001,89.900002,31979400,89.900002
2015-08-03,93.529999,98.739998,72.00,89.43,35363800,89.43
2015-07-01,86.769997,99.239998,85.230003,94.010002,38051200,94.010002
2015-06-01,79.300003,89.400002,78.660004,85.769997,25480700,85.769997
2015-05-01,79.239998,81.849998,76.790001,79.190002,21900200,79.190002
2015-04-01,82.50,85.589996,78.32,78.769997,27196300,78.769997
2015-03-02,79.00,86.07,77.260002,82.220001,27049200,82.220001
2015-02-02,76.110001,81.370003,73.449997,78.970001,26625600,78.970001
2015-01-02,78.580002,79.25,73.540001,75.910004,29434100,75.910004
2014-12-01,77.260002,82.169998,74.400002,78.019997,25202800,78.019997
2014-11-03,75.470001,78.269997,72.510002,77.699997,26681900,77.699997
2014-10-01,78.779999,81.160004,70.32,74.989998,49051600,74.989998
2014-09-02,75.010002,79.709999,73.07,79.040001,36042600,79.040001
2014-08-01,72.220001,75.989998,71.550003,74.82,29381100,74.82
2014-07-01,67.580002,76.739998,62.209999,72.650002,48743500,72.650002
2014-06-02,63.23,68.00,61.790001,67.290001,42404400,67.290001
2014-05-01,60.43,64.300003,56.259998,63.299999,55495600,63.299999
2014-04-01,60.459999,63.91,54.66,59.779999,93336100,59.779999
2014-03-03,66.959999,72.589996,57.98,60.240002,62307100,60.240002
2014-02-03,63.029999,71.440002,60.700001,68.459999,61976700,68.459999
2014-01-02,54.830002,63.369999,51.849998,62.57,65833700,62.57
2013-12-02,46.900002,58.580002,46.259998,54.650002,74314700,54.650002
2013-11-01,50.849998,52.09,43.549999,47.009998,69013200,47.009998
2013-10-01,49.970001,54.830002,45.259998,50.209999,99193200,50.209999
2013-09-03,41.84,51.599998,41.439999,50.23,84158900,50.23
2013-08-01,37.299999,42.259998,36.02,41.290001,64214900,41.290001
2013-07-01,24.969999,38.310001,24.15,36.799999,72402000,36.799999
2013-06-03,24.27,25.190001,22.67,24.879999,44255500,24.879999
2013-05-01,27.85,29.07,23.26,24.35,46273600,24.35
2013-04-01,25.629999,28.10,25.15,27.77,35216100,27.77
2013-03-01,27.049999,28.68,24.719999,25.58,37788300,25.58
2013-02-01,31.01,31.02,26.34,27.25,54771900,27.25
2013-01-02,27.440001,32.509998,27.42,30.98,88885500,30.98
2012-12-03,28.00,28.879999,25.15,26.620001,62610300,26.620001
2012-11-01,21.08,28.00,18.870001,28.00,78787600,28.00
2012-10-01,22.08,24.25,18.799999,21.110001,57157900,21.110001
2012-09-04,18.08,23.370001,17.549999,21.66,59164700,21.66
2012-08-01,21.50,22.450001,18.030001,18.059999,52639500,18.059999
2012-07-02,31.25,32.880001,21.610001,21.709999,27446100,21.709999
2012-06-01,28.889999,33.450001,25.52,31.10,32735100,31.10
2012-05-18,42.049999,45.00,26.83,29.60,151461300,29.60
