Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,64.129997,65.260002,63.619999,64.709999,22729400,64.709999
2017-02-01,64.360001,65.239998,62.75,63.98,24314200,63.98
2017-01-03,62.790001,65.910004,61.950001,64.650002,25929800,64.260422
2016-12-01,60.110001,64.099998,58.799999,62.139999,25674200,61.765545
2016-11-01,59.970001,61.41,57.279999,60.259998,30843400,59.896873
2016-10-03,57.41,61.369999,56.32,59.919998,30536900,59.159267
2016-09-01,57.009998,58.189999,55.610001,57.599998,26492300,56.868721
2016-08-01,56.599998,58.700001,56.139999,57.459999,21214700,56.730499
2016-07-01,51.130001,57.290001,50.389999,56.68,33907300,55.613781
2016-06-01,52.439999,52.950001,48.040001,51.169998,38721200,50.207428
2016-05-02,50.00,53.00,49.459999,53.00,27058000,52.003006
2016-04-01,55.049999,56.77,49.349998,49.869999,35561900,48.59201
2016-03-01,50.970001,55.639999,50.580002,55.23,30339600,53.814655
2016-02-01,54.880001,55.09,48.189999,50.880001,42321200,49.57613
2016-01-04,54.32,55.389999,49.099998,55.09,53181300,53.295586
2015-12-01,54.41,56.849998,53.68,55.48,37199500,53.672882
2015-11-02,52.849998,54.98,52.529999,54.349998,35943400,52.579689
2015-10-01,44.75,54.369999,43.75,52.639999,41050300,50.584435
2015-09-01,42.169998,45.00,41.66,44.259998,33716100,42.531666
2015-08-03,46.98,48.41,39.720001,43.52,38613300,41.820564
2015-07-01,44.459999,47.400002,43.32,46.700001,34378800,44.582397
2015-06-01,47.060001,47.77,43.939999,44.150002,31852300,42.148026
2015-05-01,48.580002,48.91,46.02,46.860001,33479600,44.735142
2015-04-01,40.599998,49.540001,40.119999,48.639999,44726700,46.134602
2015-03-02,43.669998,44.189999,40.540001,40.66,39055500,38.565643
2015-02-02,40.59,44.299999,40.23,43.849998,36332400,41.591328
2015-01-02,46.66,47.91,40.349998,40.400002,49846300,38.048264
2014-12-01,47.880001,49.060001,44.900002,46.450001,29469200,43.746086
2014-11-03,46.889999,50.049999,46.73,47.810001,28660000,45.026917
2014-10-01,46.27,46.970001,42.099998,46.950001,38656900,43.939838
2014-09-02,45.43,47.57,44.529999,46.360001,42564700,43.387665
2014-08-01,43.209999,45.470001,42.209999,45.43,25501300,42.517292
2014-07-01,41.860001,45.709999,41.049999,43.16,34688800,40.142113
2014-06-02,40.950001,42.290001,39.860001,41.700001,27931400,38.784199
2014-05-01,40.240002,40.970001,38.509998,40.939999,28996600,38.077339
2014-04-01,41.150002,41.66,38.900002,40.400002,37217600,37.311878
2014-03-03,37.919998,41.50,37.490002,40.990002,39300500,37.856777
2014-02-03,37.740002,38.459999,35.689999,38.310001,39290500,35.381634
2014-01-02,37.349998,37.889999,34.630001,37.84,48732700,34.68745
2013-12-02,38.09,38.98,35.529999,37.41,40196200,34.293274
2013-11-01,35.669998,38.290001,35.389999,38.130001,41126100,34.953289
2013-10-01,33.349998,36.290001,32.799999,35.41,43783200,32.21558
2013-09-03,31.75,33.75,30.950001,33.279999,64140000,30.277731
2013-08-01,32.060001,35.200001,30.84,33.400002,49729700,30.386908
2013-07-01,34.75,36.43,31.02,31.84,52501300,28.764942
2013-06-03,34.919998,35.779999,32.57,34.540001,50535000,31.20418
2013-05-01,32.93,35.279999,32.32,34.900002,51273800,31.529413
2013-04-01,28.639999,33.110001,28.110001,33.099998,70041900,29.695024
2013-03-01,27.719999,28.66,27.52,28.610001,45019900,25.666908
2013-02-01,27.67,28.200001,27.10,27.799999,42969800,24.940231
2013-01-02,27.25,28.23,26.280001,27.450001,56932500,24.424023
2012-12-03,26.780001,27.73,26.26,26.709999,49503000,23.765596
2012-11-01,28.84,30.200001,26.34,26.620001,66390700,23.685518
2012-10-01,29.809999,30.25,27.76,28.540001,55946000,25.186899
2012-09-04,30.450001,31.610001,29.74,29.76,49859800,26.263563
2012-08-01,29.59,30.959999,28.969999,30.82,30797300,27.199026
2012-07-02,30.620001,31.049999,28.540001,29.469999,42105900,25.836475
2012-06-01,28.76,31.139999,28.32,30.59,48969400,26.818386
2012-05-01,32.049999,32.34,28.639999,29.190001,47886600,25.591
2012-04-02,32.220001,32.889999,30.23,32.02,48821800,27.889072
2012-03-14,32.529999,32.950001,31.719999,32.259998,43349400,28.098108
